"О"; 0.0; 0.0; 0.0769; 0.0; 0.923
"В"; 0.0; 0.0; 0.276; 0.0; 0.712 
"ОБ"; 0.0; 0.0; 0.0222; 0.0; 0.978
"ПО"; 0.0; 0.986; 0.00859; 0.0; 0.00515 
"БЕЗ"; 0.986; 0.0; 0.0; 0.0; 0.0
"С"; 0.213; 0.0; 0.00242; 0.772; 0.0
"НЕ В"; 0.0; 0.0; 0.288; 0.0; 0.712
"ПРО"; 0.0; 0.0; 1.0; 0.0; 0.0
"ДО"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПРИ"; 0.0; 0.0; 0.0; 0.0; 0.995
"К"; 0.0; 1.0; 0.0; 0.0; 0.0
"СО"; 0.321; 0.0; 1.0; 0.666; 0.0
"НА"; 0.0; 0.0; 0.358; 0.0; 0.635 
"ВО"; 0.0; 0.0; 0.142; 0.0; 0.811
"ЗА"; 0.0; 0.0; 0.358; 0.603; 0.0
"ПОД"; 0.0; 0.0; 0.191; 0.779; 0.0
"ПЕРЕД"; 0.0; 0.0; 0.0; 1.0; 0.0
"ДЛЯ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ЧЕРЕЗ"; 0.0; 0.0; 1.0; 0.0; 0.0 
"ПОСЛЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"МЕЖДУ"; 0.156; 0.0; 0.0; 0.844; 0.0
"НЕ БЕЗ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВО ВРЕМЯ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В ХОДЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПРОТИВ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПРЕД"; 0.0; 0.0; 0.0; 1.0; 0.0
"НАД"; 0.0; 0.0; 0.0; 1.0; 0.0
"ВВИДУ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ОТНОСИТЕЛЬНО";  1.0; 0.0; 0.0; 0.0; 0.0 
"КО"; 0.0; 1.0; 0.0; 0.0; 0.0
"СООТВЕТСТВЕННО";  0.0; 1.0; 0.0; 0.0; 0.0 
"ОТ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В РЕЗУЛЬТАТЕ";  0.973; 0.0; 0.0; 0.0; 0.0
"В ТЕЧЕНИЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"С ПОМОЩЬЮ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПУТЕМ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"СОГЛАСНО"; 0.0; 0.909; 0.0; 0.0; 0.0 
"В КАЧЕСТВЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ОКОЛО"; 1.0; 0.0; 0.0; 0.0; 0.0
"БЛАГОДАРЯ"; 0.0; 1.0; 0.0; 0.0; 0.0
"В ВИДЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В СООТВЕТСТВИИ С";  0.0; 0.0; 0.0; 1.0; 0.0
"ПРИ ПОМОЩИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"СРЕДИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"МИМО"; 1.0; 0.0; 0.0; 0.0; 0.0 
"СКВОЗЬ"; 0.0; 0.0; 1.0; 0.0; 0.0 
"ВДОЛЬ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"МЕЖ"; 0.0; 0.0; 0.0; 1.0; 0.0
"РЯДОМ С"; 0.0; 0.0; 0.0; 1.0; 0.0
"В СТОРОНУ"; 0.857; 0.0; 0.0; 0.0; 0.0
"ВМЕСТЕ С"; 0.0; 0.0; 0.0; 1.0; 0.0
"ВПЕРЕДИ"; 0.75; 0.0; 0.0; 0.0; 0.0 
"ПО НАПРАВЛЕНИЮ К";  0.0; 1.0; 0.0; 0.0; 0.0
"ВСЛЕД ЗА"; 0.0; 0.0; 0.0; 1.0; 0.0
"ВОКРУГ"; 0.833; 0.0; 0.0; 0.0; 0.0 
"СЛЕДОМ ЗА"; 0.0; 0.0; 0.0; 1.0; 0.0
"В НОГУ С"; 0.0; 0.0; 0.0; 1.0; 0.0
"НАПЕРЕКОР"; 0.0; 1.0; 0.0; 0.0; 0.0
"ВПЕРЕД"; 1.0; 0.0; 0.0; 0.0; 0.0 
"РАДИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"НА ОСНОВАНИИ";  1.0; 0.0; 0.0; 0.0; 0.0
"С УЧЕТОМ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В СВЯЗИ С"; 0.0; 0.0; 0.0; 1.0; 0.0
"ОТ ИМЕНИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В НАЧАЛЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"У"; 0.991; 0.0; 0.0; 0.0; 0.0
"НА ПОРОГЕ"; 0.833; 0.0; 0.0; 0.0; 0.0
"ВНУТРИ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"В ПРОЦЕССЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"НЕДАЛЕКО ОТ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВБЛИЗИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"НА МЕСТЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВНЕ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"НИЖЕ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"НАПРОТИВ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"ДАЛЕКО ЗА"; 0.0; 0.0; 0.0; 1.0; 0.0
"В ПРЕДЕЛАХ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВОЗЛЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В РАСПОРЯЖЕНИИ";  1.0; 0.0; 0.0; 0.0; 0.0
"ВЫШЕ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"ПОСРЕДИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"НАКАНУНЕ"; 0.5; 0.0; 0.0; 0.0; 0.0 
"ПОСРЕДСТВОМ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВОПРЕКИ"; 0.0; 1.0; 0.0; 0.0; 0.0
"ИЗ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ИЗО"; 1.0; 0.0; 0.0; 0.0; 0.0
"НА СТРАЖЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПОСЕРЕДИНЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В СВЕТЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"НЕПОДАЛЕКУ ОТ";  1.0; 0.0; 0.0; 0.0; 0.0
"ПОСРЕДИНЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПОЗАДИ"; 0.5; 0.0; 0.0; 0.0; 0.0
"ПОВЕРХ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВСЛЕД"; 0.0; 1.0; 0.0; 0.0; 0.0
"ЛИЦОМ К ЛИЦУ С";  0.0; 0.0; 0.0; 1.0; 0.0
"В СИЛУ"; 1.0; 0.0; 0.0; 0.0; 0.0
"СОВМЕСТНО С"; 0.0; 0.0; 0.0; 1.0; 0.0
"ЗА СЧЕТ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ЗА СЧЁТ"; 1.0; 0.0; 0.0; 0.0; 0.0
"СПУСТЯ"; 0.0; 0.0; 1.0; 0.0; 0.0 
"НА БЛАГО"; 1.0; 0.0; 0.0; 0.0; 0.0
"В ОБЛАСТИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПО ОКОНЧАНИИ";  1.0; 0.0; 0.0; 0.0; 0.0
"НЕ ЗА"; 0.0; 0.0; 1.0; 1.0; 0.0
"ВНИЗУ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"ВМЕСТО"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПОПЕРЕК"; 1.0; 0.0; 0.0; 0.0; 0.0 
"ВНУТРЬ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В ПАМЯТЬ О"; 0.0; 0.0; 0.0; 0.0; 1.0
"ВПЛОТНУЮ К"; 0.0; 1.0; 0.0; 0.0; 0.0
"НА ПРОТЯЖЕНИИ";  1.0; 0.0; 0.0; 0.0; 0.0
"В СОГЛАСИИ С";  0.0; 0.0; 0.0; 1.0; 0.0
"БЕЗО"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПО СЛУЧАЮ"; 1.0; 0.0; 0.0; 0.0; 0.0
"СО СТОРОНЫ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ВСЛЕДСТВИЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В РАСПОРЯЖЕНИЕ";  1.0; 0.0; 0.0; 0.0; 0.0
"С ЦЕЛЬЮ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В ШАГЕ ОТ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПО ОТНОШЕНИЮ К";  0.0; 1.0; 0.0; 0.0; 0.0
"В РОЛИ"; 1.0; 0.0; 0.0; 0.0; 0.0
"СООТВЕТСТВЕННО С";  0.0; 0.0; 0.0; 1.0; 0.0
"СВЕРХУ"; 1.0; 0.0; 0.0; 0.0; 0.0 
"В ИНТЕРЕСАХ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ПО МЕРЕ"; 1.0; 0.0; 0.0; 0.0; 0.0
"НА СМЕНУ"; 0.0; 1.0; 0.0; 0.0; 0.0
"ПО СРАВНЕНИЮ С";  0.0; 0.0; 0.0; 1.0; 0.0
"ИСХОДЯ ИЗ"; 1.0; 0.0; 0.0; 0.0; 0.0
"В ЗАВИСИМОСТИ ОТ";  1.0; 0.0; 0.0; 0.0; 0.0
"ПО ПОВОДУ"; 1.0; 0.0; 0.0; 0.0; 0.0
"ИЗНУТРИ"; 1.0; 0.0; 0.0; 0.0; 0.0
